60 92
73
25, 38, 6, 34 R
45, 34, 13, 3
39, 24, 13, 5
49, 80, 10, 12
50, 37, 10, 12
1, 64, 6, 7
19, 72, 15, 6 R
19, 17, 25, 7
34, 67, 15, 25 R
0, 80, 21, 12
22, 10, 16, 7
21, 0, 16, 5
18, 24, 21, 3
39, 29, 21, 5
7, 14, 7, 5 R
14, 16, 5, 5
46, 37, 4, 1
29, 6, 10, 4 R
15, 0, 6, 13
45, 54, 12, 13
0, 43, 9, 12 R
16, 27, 23, 6
15, 13, 7, 3
24, 33, 7, 5
0, 70, 1, 2 R
6, 4, 2, 10
0, 13, 6, 6
10, 8, 5, 6 R
10, 34, 14, 7
0, 19, 14, 6
44, 12, 16, 3
45, 38, 5, 16 R
0, 25, 14, 6
52, 15, 5, 14 R
21, 78, 13, 14 R
16, 23, 2, 3 R
21, 7, 7, 3 R
14, 21, 2, 11 R
46, 0, 11, 7
0, 31, 7, 6 R
0, 37, 6, 6
31, 34, 14, 33 R
0, 0, 12, 4
57, 0, 3, 12 R
9, 41, 16, 18
57, 17, 3, 12 R
7, 59, 18, 12 R
8, 4, 4, 4
6, 55, 3, 4 R
18, 21, 1, 3 R
6, 41, 3, 2
0, 4, 6, 9
0, 55, 6, 9
51, 67, 6, 1
23, 5, 6, 2
50, 49, 7, 5 R
39, 7, 18, 5 R
37, 0, 9, 3 R
37, 3, 9, 3 R
1, 71, 18, 9 R
38, 12, 6, 5
8, 8, 2, 6 R
49, 68, 2, 12
7, 32, 9, 2 R
12, 0, 3, 8 R
44, 15, 8, 9
51, 70, 9, 10 R
31, 67, 3, 5
57, 15, 3, 2
57, 50, 3, 18
7, 34, 3, 7
58, 34, 2, 3
51, 68, 9, 2 R

