60 123
73
26, 75, 34, 6
21, 104, 13, 3
47, 86, 13, 5
20, 43, 10, 12
0, 14, 10, 12
22, 97, 6, 7
10, 77, 6, 15
6, 36, 25, 7
35, 36, 25, 15
12, 24, 21, 12
17, 85, 16, 7
44, 81, 16, 5
21, 21, 21, 3
14, 92, 21, 5
36, 13, 5, 7
16, 76, 5, 5
0, 114, 4, 1
14, 0, 4, 10
14, 51, 6, 13
48, 110, 12, 13
36, 112, 12, 9
27, 55, 23, 6
47, 0, 7, 3
10, 111, 7, 5
18, 43, 2, 1
16, 10, 2, 10
41, 4, 6, 6
54, 51, 6, 5
0, 116, 14, 7
0, 71, 14, 6
28, 107, 16, 3
3, 46, 16, 5
46, 12, 14, 6
0, 106, 14, 5
46, 91, 14, 13
3, 44, 3, 2
31, 36, 3, 7
0, 69, 11, 2
33, 81, 11, 7
16, 69, 6, 7
28, 117, 6, 6
27, 61, 33, 14
34, 0, 12, 4
0, 2, 12, 3
42, 18, 16, 18
6, 103, 12, 3
0, 51, 12, 18
30, 0, 4, 4
50, 4, 4, 3
3, 0, 3, 1
0, 0, 3, 2
0, 26, 6, 9
0, 5, 6, 9
21, 55, 6, 1
27, 82, 6, 2
28, 110, 5, 7
35, 88, 5, 18
55, 0, 3, 9
21, 76, 3, 9
18, 3, 9, 18
14, 97, 6, 5
42, 121, 6, 2
10, 20, 2, 12
58, 0, 2, 9
12, 21, 8, 3
33, 4, 8, 9
18, 112, 10, 9
0, 93, 3, 5
24, 121, 3, 2
42, 89, 3, 18
42, 11, 3, 7
20, 0, 2, 3
40, 92, 2, 9

