60 92
73
1, 9, 34, 6
22, 0, 13, 3
3, 74, 13, 5
50, 15, 10, 12
50, 50, 10, 12
39, 15, 6, 7
39, 22, 6, 15
8, 20, 25, 7
35, 0, 25, 15
19, 48, 21, 12
17, 27, 16, 7
32, 75, 16, 5
0, 6, 21, 3
39, 87, 21, 5
2, 67, 5, 7
35, 43, 5, 5
4, 15, 4, 1
46, 18, 4, 10
33, 24, 6, 13
4, 79, 12, 13
16, 83, 12, 9
34, 37, 23, 6
6, 28, 7, 3
14, 15, 7, 5
34, 15, 2, 1
5, 48, 2, 10
0, 25, 6, 6
8, 15, 6, 5
40, 43, 14, 7
1, 0, 14, 6
1, 31, 16, 3
33, 80, 16, 5
21, 3, 14, 6
18, 78, 14, 5
34, 62, 14, 13
28, 83, 3, 2
1, 85, 3, 7
22, 15, 11, 2
28, 85, 11, 7
54, 80, 6, 7
15, 0, 6, 6
0, 34, 33, 14
7, 51, 12, 4
7, 48, 12, 3
16, 60, 16, 18
21, 17, 12, 3
48, 62, 12, 18
13, 27, 4, 4
46, 15, 4, 3
33, 23, 3, 1
46, 85, 3, 2
45, 28, 6, 9
51, 28, 6, 9
50, 27, 6, 1
34, 60, 6, 2
49, 80, 5, 7
0, 49, 5, 18
0, 76, 3, 9
36, 15, 3, 9
7, 56, 9, 18
54, 45, 6, 5
39, 85, 6, 2
32, 63, 2, 12
0, 67, 2, 9
42, 50, 8, 3
0, 16, 8, 9
40, 53, 10, 9
16, 55, 3, 5
54, 43, 3, 2
57, 27, 3, 18
33, 16, 3, 7
33, 44, 2, 3
5, 58, 2, 9

