60 103
73
7, 56, 6, 34 R
24, 90, 3, 13 R
13, 54, 5, 13 R
50, 15, 10, 12
44, 27, 12, 10 R
19, 83, 6, 7
54, 0, 6, 15
48, 78, 7, 25 R
13, 29, 15, 25 R
48, 51, 12, 21 R
0, 59, 7, 16 R
25, 68, 5, 16 R
27, 100, 21, 3
55, 82, 5, 21 R
7, 14, 5, 7
45, 16, 5, 5
36, 10, 4, 1
56, 27, 4, 10
47, 72, 13, 6 R
0, 40, 13, 12 R
36, 88, 9, 12 R
13, 67, 6, 23 R
45, 93, 3, 7 R
0, 54, 7, 5
11, 55, 2, 1
28, 58, 2, 10
45, 0, 6, 6
45, 10, 5, 6 R
0, 75, 7, 14 R
0, 89, 6, 14 R
32, 68, 3, 16 R
30, 84, 5, 16 R
47, 37, 6, 14 R
40, 0, 5, 14 R
10, 90, 14, 13
28, 30, 2, 3 R
15, 0, 7, 3 R
11, 3, 11, 2
0, 29, 7, 11 R
7, 7, 6, 7
44, 21, 6, 6
30, 17, 14, 33 R
56, 37, 4, 12 R
53, 37, 3, 12 R
30, 52, 18, 16 R
15, 7, 12, 3
13, 11, 12, 18
3, 17, 4, 4
51, 0, 3, 4 R
3, 0, 1, 3 R
13, 0, 2, 3 R
30, 11, 9, 6 R
19, 54, 6, 9
1, 14, 6, 1
13, 5, 2, 6 R
22, 0, 5, 7
20, 63, 5, 18
27, 0, 3, 9
0, 0, 3, 9
35, 70, 9, 18
0, 9, 6, 5
39, 50, 6, 2
25, 10, 2, 12
11, 29, 2, 9
51, 7, 3, 8 R
0, 21, 9, 8 R
30, 0, 10, 9
4, 0, 5, 3 R
56, 49, 3, 2
27, 11, 3, 18
10, 21, 3, 7
30, 9, 3, 2 R
45, 43, 2, 9

